date,horizon,ic
2007-10-19,10,0.12474461297873138
2007-10-22,10,0.14711238688401887
2007-10-23,10,0.14229121244447276
2007-10-24,10,0.1729429843545247
2007-10-25,10,0.13183484452080077
2007-10-26,10,0.06526179914069694
2007-10-29,10,-0.057670549868477985
2007-10-30,10,-0.023426321141122235
2007-10-31,10,-0.011971844261476025
2007-11-01,10,-0.019912789458648723
2007-11-02,10,-0.009478375515414144
2007-11-05,10,-0.021034221703528495
2007-11-06,10,-0.025900503144661722
2007-11-07,10,-0.0629027763266917
2007-11-08,10,-0.03725080520240998
2007-11-09,10,0.045409478515183045
2007-11-12,10,0.20172834165851558
2007-11-13,10,0.18674153249917527
2007-11-14,10,0.17548787433379587
2007-11-15,10,0.14669043891989764
2007-11-16,10,0.15241930440002305
2007-11-19,10,0.1761528459500292
2007-11-20,10,0.12823699815218198
2007-11-21,10,0.07964705624668372
2007-11-23,10,0.050401195572321714
2007-11-26,10,-0.024271984482784642
2007-11-27,10,-0.06014080642473689
2007-11-28,10,-0.020261840822403173
2007-11-29,10,-0.018049995946686437
2007-11-30,10,0.04746515962724428
2007-12-03,10,-0.026382169242536967
2007-12-04,10,-0.0820525460594771
2007-12-05,10,-0.06046357012221022
2007-12-06,10,0.015964280240977232
2007-12-07,10,0.01791318529470688
2007-12-10,10,0.05771857930476361
2007-12-11,10,0.08863468584770892
2007-12-12,10,0.10118401933688259
2007-12-13,10,0.09287169945568842
2007-12-14,10,0.03957340910017304
2007-12-17,10,0.06553130286024773
2007-12-18,10,0.17513016129997888
2007-12-19,10,0.1766353530995723
2007-12-20,10,0.1359723314638287
2007-12-21,10,0.1520003471032644
2007-12-24,10,0.17264412983106145
2007-12-26,10,0.11656741569123641
2007-12-27,10,0.1054114273698532
2007-12-28,10,0.07755484014562337
2007-12-31,10,0.07943070721521847
2008-01-02,10,-0.041715925491008034
2008-01-03,10,-0.14048967204951815
2008-01-04,10,-0.14705151582128087
2008-01-07,10,-0.15555280273262304
2008-01-08,10,-0.2462174814762448
2008-01-09,10,-0.28045716065245857
2008-01-10,10,-0.24602420502413783
2008-01-11,10,-0.278612465940194
2008-01-14,10,-0.30832859261131956
2008-01-15,10,-0.3225995178682776
2008-01-16,10,-0.26347954689653746
2008-01-17,10,-0.27691213105380624
2008-01-18,10,-0.27467848584580257
2008-01-22,10,-0.27078418630367096
2008-01-23,10,-0.20732599801105697
2008-01-24,10,-0.17221118432375135
2008-01-25,10,-0.10824146686799821
2008-01-28,10,-0.033665910864262856
2008-01-29,10,0.0067442826701038325
2008-01-30,10,0.0090013932378032
2008-01-31,10,0.04908248013554418
2008-02-01,10,0.078870019751333
2008-02-04,10,0.04602477380960931
2008-02-05,10,0.03998435872985002
2008-02-06,10,0.08034454948020374
2008-02-07,10,0.09768533052888746
2008-02-08,10,0.07295203424041705
2008-02-11,10,-0.029189410955184066
2008-02-12,10,0.008398970676205307
2008-02-13,10,0.07890416992225913
2008-02-14,10,0.08735940409994396
2008-02-15,10,0.13133832884227684
2008-02-19,10,0.12747282073422475
2008-02-20,10,0.1709932075339214
2008-02-21,10,0.19504589764125715
2008-02-22,10,0.15892203687015555
2008-02-25,10,0.12628689291383124
2008-02-26,10,0.1696644788083556
2008-02-27,10,0.20103299320530899
2008-02-28,10,0.1717951223544951
2008-02-29,10,0.19419109077445293
2008-03-03,10,0.14495690718686605
2008-03-04,10,0.11571568968819065
2008-03-05,10,0.07087619148782086
2008-03-06,10,-0.03212241367598978
2008-03-07,10,-0.10175231515097947
2008-03-10,10,-0.10232623999997312
2008-03-11,10,-0.06733638315125338
2008-03-12,10,-0.09715827950047039
2008-03-13,10,-0.07133952564641671
2008-03-14,10,-0.13317613881983512
2008-03-17,10,-0.205475580030825
2008-03-18,10,-0.17488087478537545
2008-03-19,10,-0.1355871405749179
2008-03-20,10,-0.09874454602324462
2008-03-24,10,-0.03255294019780419
2008-03-25,10,-0.009650183061666878
2008-03-26,10,0.01725729455639891
2008-03-27,10,0.022766647668600013
2008-03-28,10,0.020179797076036222
2008-03-31,10,0.05388957109951343
2008-04-01,10,0.14441345845757025
2008-04-02,10,0.165669708881357
2008-04-03,10,0.1679186789475784
2008-04-04,10,0.13899167334784485
2008-04-07,10,0.1945094820758967
2008-04-08,10,0.22560905589866284
2008-04-09,10,0.19301500260125515
2008-04-10,10,0.10304459624933948
2008-04-11,10,0.043720646464206654
2008-04-14,10,-0.0078200775808141
2008-04-15,10,-0.11340588146529562
2008-04-16,10,-0.14994479751522705
2008-04-17,10,-0.17119621465957888
2008-04-18,10,-0.133663289627064
2008-04-21,10,-0.12151911810929537
2008-04-22,10,-0.14328846478348944
2008-04-23,10,-0.14346669072840526
2008-04-24,10,-0.02447728253611054
2008-04-25,10,-0.013772706305069387
2008-04-28,10,-0.020029668969898756
2008-04-29,10,0.038597831373446384
2008-04-30,10,0.02801077106610308
2008-05-01,10,0.05212557658840262
2008-05-02,10,0.057495889191056124
2008-05-05,10,-0.007753249316899153
2008-05-06,10,0.005512307189789608
2008-05-07,10,0.007988666267752124
2008-05-08,10,-0.043334056437298395
2008-05-09,10,-0.04377705012967546
2008-05-12,10,0.012676915313003724
2008-05-13,10,0.020291525759340418
2008-05-14,10,-0.0205437046195025
2008-05-15,10,0.01871750324650993
2008-05-16,10,0.04143155083650337
2008-05-19,10,0.08392672677566569
2008-05-20,10,0.06464802319781408
2008-05-21,10,0.09238846516370222
2008-05-22,10,0.1555111201685346
2008-05-23,10,0.19693987530502552
2008-05-27,10,0.16586593198505475
2008-05-28,10,0.14626996649478416
2008-05-29,10,0.18830132161395177
2008-05-30,10,0.20978436157991665
2008-06-02,10,0.20906696328732952
2008-06-03,10,0.23068881806219796
2008-06-04,10,0.24684838046715174
2008-06-05,10,0.26700922686339057
2008-06-06,10,0.28331674568228954
2008-06-09,10,0.25349041660123933
2008-06-10,10,0.23772724183509175
2008-06-11,10,0.22350818029363087
2008-06-12,10,0.25575189017042066
2008-06-13,10,0.28155622984584217
2008-06-16,10,0.26626022480446343
2008-06-17,10,0.2629989856877742
2008-06-18,10,0.17962526033868695
2008-06-19,10,0.15266495584267828
2008-06-20,10,0.16750745222338725
2008-06-23,10,0.07975897494786266
2008-06-24,10,0.12734200335734439
2008-06-25,10,0.17203576340626903
2008-06-26,10,0.17116991804021428
2008-06-27,10,0.14802803980010107
2008-06-30,10,0.09465176133213347
2008-07-01,10,0.014498259509183995
2008-07-02,10,-0.0561784240973414
2008-07-03,10,-0.023070177858163503
2008-07-07,10,-0.06800325354436809
2008-07-08,10,-0.11355401621044274
2008-07-09,10,-0.2072811669141818
2008-07-10,10,-0.20604884491458106
2008-07-11,10,-0.2068304744755347
2008-07-14,10,-0.21684209707412735
2008-07-15,10,-0.22115020140103367
2008-07-16,10,-0.20261999014247795
2008-07-17,10,-0.1365547483077447
2008-07-18,10,-0.1407278894889727
2008-07-21,10,-0.16344328980645956
2008-07-22,10,-0.1357374703910143
2008-07-23,10,-0.06018528934401863
2008-07-24,10,-0.0794657811497895
2008-07-25,10,-0.14103515156592444
2008-07-28,10,-0.20280337774262366
2008-07-29,10,-0.20302037975161638
2008-07-30,10,-0.2106125134642401
2008-07-31,10,-0.2123533627145294
2008-08-01,10,-0.2597794611467344
2008-08-04,10,-0.2248145157023508
2008-08-05,10,-0.11802921138967248
2008-08-06,10,-0.07415701220621083
2008-08-07,10,-0.10482955237800401
2008-08-08,10,-0.07424612349341804
2008-08-11,10,-0.024302798977622043
2008-08-12,10,-0.0060627214821359
2008-08-13,10,-0.01229727156331214
2008-08-14,10,-0.012175937263326296
2008-08-15,10,0.025372196879984963
2008-08-18,10,0.00017805601288269906
2008-08-19,10,-0.08559105636304604
2008-08-20,10,-0.12083876851422688
2008-08-21,10,-0.13749066252774697
2008-08-22,10,-0.11005620678565595
2008-08-25,10,-0.10665895263625134
2008-08-26,10,-0.06283726087182953
2008-08-27,10,-0.03439882914704365
2008-08-28,10,-0.04946799587413398
2008-08-29,10,-0.016177463245694936
2008-09-02,10,0.01686027712319231
2008-09-03,10,0.01451418196620246
2008-09-04,10,-0.01514730136130038
2008-09-05,10,-0.016151869339298675
2008-09-08,10,0.007526979103791613
2008-09-09,10,-0.006709209159883636
2008-09-10,10,-0.011335443163143676
2008-09-11,10,-0.02403230308747087
2008-09-12,10,0.0016666078827493886
2008-09-15,10,0.008490226450247166
2008-09-16,10,-0.013170356987882091
2008-09-17,10,-0.0003238909311283921
2008-09-18,10,-0.008859477670885421
2008-09-19,10,0.04094805032054059
2008-09-22,10,0.09652074861097112
2008-09-23,10,0.11996160309905404
2008-09-24,10,0.1451103536199498
2008-09-25,10,0.13946116215545
2008-09-26,10,0.19982572925165124
2008-09-29,10,0.11758190849138986
2008-09-30,10,0.13676407590343723
2008-10-01,10,0.15585681061182124
2008-10-02,10,0.18426974668953758
2008-10-03,10,0.17074051796444165
2008-10-06,10,0.08617761574019146
2008-10-07,10,0.07473313753199656
2008-10-08,10,0.1125286530401317
2008-10-09,10,0.11671360862184517
2008-10-10,10,0.05080421803737938
2008-10-13,10,0.1631326817625129
2008-10-14,10,0.19074927933126815
2008-10-15,10,0.1055274648100479
2008-10-16,10,0.029934143960270165
2008-10-17,10,0.05692034192699833
2008-10-20,10,0.07792132821761266
2008-10-21,10,-0.05478263746477901
2008-10-22,10,-0.12197406577069235
2008-10-23,10,-0.06123510444505719
2008-10-24,10,-0.09374030256121017
2008-10-27,10,-0.09184525284637579
2008-10-28,10,-0.02035703328977619
2008-10-29,10,0.15456512908592288
2008-10-30,10,0.16831225238152497
2008-10-31,10,0.2067511272341567
2008-11-03,10,0.2521300939997529
2008-11-04,10,0.31639198886236325
2008-11-05,10,0.33683842362575805
2008-11-06,10,0.3438592363789351
2008-11-07,10,0.32650665595663303
2008-11-10,10,0.28217734970646585
2008-11-11,10,0.21210776317668903
2008-11-12,10,0.012897547061983705
2008-11-13,10,0.03668935374197145
2008-11-14,10,0.1336889557623353
2008-11-17,10,0.029003594283542437
